Uuid,Void/Retire,Fully specified name:en,_order:2400
a5a5aaf1-541e-4ca6-9753-bd4b0e479f81,TRUE,Ciprofloxacin,
9881091b-1802-4c62-8b80-a8fcb170b59f,TRUE,Paracetamol,
f05a49a3-8930-434d-a6da-240f2e127754,TRUE,Streptomycin,
83c9a8d1-d282-437f-a882-ff4c3179908d,TRUE,Isoniazid,
38dcc101-d385-4771-b005-7ba9825ca0c6,TRUE,Rifampicin,
aa018411-bcb2-4392-ab5f-b489f7243612,TRUE,Ethambutol,
0a1d2888-fd53-4031-9470-ca2140f997a9,TRUE,Calcium,
5fd156c3-c76f-4067-9856-6a6bd1912a96,TRUE,Pyrazinamide,
01e09697-7bd1-42da-9c71-79f0fd1f8e02,TRUE,Pioglitazone,
e6701098-9f0e-41f9-9c9d-fcdb57715bef,TRUE,Glipizide,
38752a31-5b23-4957-ae0c-ecdbc6b0a489,TRUE,Aceclofenac,
783aff6f-c427-4511-8df4-872b87fad050,TRUE,Acyclovir,
d770fc0a-1482-4078-b0cd-9a91d9afe0e5,TRUE,Adrenaline,
8f668b49-584f-4cba-b0f2-817a8aaf50c4,TRUE,Albendazole,
80afda71-a024-4565-a936-9800fb3cb66d,TRUE,Allopurinol,
93ab76c0-6a9a-4d3e-9654-78dadae5db72,TRUE,Alprazolam,
15ed8cf2-f0bf-4cfa-9181-9a285e1349bd,TRUE,Amikacin,
d721dc0f-fcc0-4beb-801c-6c6c21baa5bf,TRUE,Amitriptyline,
73a42073-eff0-436c-aed3-3001b0a2b603,TRUE,Amlodipine & Atenolol,
627a6041-ad81-4968-8adf-2f49aec4433b,TRUE,Amoxicillin,
5af24242-1f58-40ef-a9a6-417cdf53c81c,TRUE,Amoxicillin & Clavulanate,
7d46eccd-e611-4476-a114-9abd22767947,TRUE,Amoxicillin & Clavulanic Acid,
f0dbd31e-d189-44ca-b3cb-4dfe7f88c08f,TRUE,Amoxicillin & Cloxacillin,
0212639d-bb3a-4307-9bb5-95c84e78b8ef,TRUE,Amphotericin B,
f9f69437-669d-4a3e-930b-b36994a2f9d4,TRUE,Ampicillin,
08c44970-d497-4270-8dad-e50a3df7e6a8,TRUE,Ampicillin & Cloxacillin,
d00fa604-4fe6-445d-81e9-7ae4aff8341f,TRUE,Antacid,
9cedc898-c7e5-4edb-8085-0a40f33645d0,TRUE,Antioxidant,
316441ec-c0fd-44bc-a040-c68f4da8d228,TRUE,Atenolol,
83902f85-63ba-4121-9446-940158804bc2,TRUE,Atorvastatin,
b4dc0131-0a26-477c-806a-f690225194d6,TRUE,Atropine,
12f2b5bc-a9be-4860-9393-03f30fa3f1cd,TRUE,Beclomethasone Dipropionate,
502820f5-5a8b-4ee9-beba-fcf23c1ec2f7,TRUE,Benzoic & Salicylic Acid,
9bc6c942-9da6-401f-ab44-87b95fa86830,TRUE,Benzoyl Peroxide,
a7ce5d88-1940-4569-b07b-97b12cb9656f,TRUE,Betamethasone,
208b5be3-5c5a-4a1f-9c9a-2779373c7d86,TRUE,Bupivacaine Hydrochloride,
bb2afe54-a7d9-4ee5-9823-5a53fe03b725,TRUE,Caffeine Citrate,
d08ec8fe-2d91-489f-a416-16af0a043b0b,TRUE,Calamine,
9a318894-5341-424f-a4ed-98bea3a5e0ce,TRUE,Calcium Gluconate,
aa367bfd-3846-4792-888d-32b13b13933b,TRUE,Carbamazine,
d4844d6b-4348-46ef-9dcf-f3d9c3541f83,TRUE,Cefadroxil,
d7301792-6622-49e7-8de1-1f5e8471529c,TRUE,Cefazolin,
4907047b-1435-4eaf-9645-b67fba8a2e23,TRUE,Cefepime,
4316906b-9ef4-4326-bd76-2988beed82a4,TRUE,Cefixime,
38d061a2-e963-49dd-86fb-c8444b5de4c3,TRUE,Ceftazidime,
dfeb53e9-4253-42fc-8f6e-edc6213c9515,TRUE,Cetirizine,
34f39ebd-e88e-4b74-b384-60eb9b3370e8,TRUE,Dipirone,
2d0057fc-7a3c-40df-b0fb-2ae2c004dad6,TRUE,Chlordiazepoxide,
e6787b61-c496-43e7-93c9-77a2eb043105,TRUE,Chlorhexidine Gluconate,
b48e38a8-b121-4cdf-91b9-469acd99273b,TRUE,Chloroquine,
b46265ad-397e-4db3-a439-594ff495f39f,TRUE,Chlorpheniramine,
b50c9258-d3cc-43ea-9855-1c2b685f4aa9,TRUE,Chlorpromazine,
a4391c57-549b-4047-8971-c3fa72e140b5,TRUE,Clarithromycine,
0797df4b-bdcd-4f4e-976e-b929874f814b,TRUE,Clobazam,
3bb38c6e-d972-4cee-89c9-a3bddf60f698,TRUE,Clobetasol Propionate,
3ecf1ff7-22e4-4846-90dc-10ed9255ce8e,TRUE,Clonazepan,
895ae798-25af-4232-b4a1-942b11abd446,TRUE,Clotrimazole,
1a785710-08a7-4798-b122-4c88d2a98b53,TRUE,Clotrimazole & Lignocaine,
ebfa6b78-15c2-4343-a240-31f9fce66723,TRUE,Clotrimazole Otic,
cbbde229-f044-43ae-9a34-504fb77ce42f,TRUE,Clove Oil,
1b535529-68fb-4bb5-bb5a-202ec74efb1d,TRUE,Cloxacillin,
62f52893-4ec1-4de6-8585-92da6d917579,TRUE,Codeine Phosphate,
55e6671b-f5c3-4699-8b76-a7f59701d35b,TRUE,Co-trimoxazole,
990f8299-6f88-49bc-af49-9fa3944d0fc1,TRUE,Cremaffin,
8ebd43a6-fc66-4c00-a0de-108c6acd5721,TRUE,Cycloserine,
e4a0426a-4235-416d-8089-84ae113808d6,TRUE,Dexamethasone,
49be9771-c89d-4b0d-a03c-ecd6283f0caa,TRUE,Dextrose,
8f29cfad-b34f-463b-b4f8-9ea56e4ea9d3,TRUE,Dextrose & Normal Saline (DNS),
eab2bb93-b2d1-42ef-817e-1b47d79d76db,TRUE,Diazepam,
391d02a4-2640-4d7b-900f-f74de8e1b6ed,TRUE,Diclofenac,
392ff197-bcb2-44f3-933c-6e8ecb3d926e,TRUE,Dicyclomine,
39e70f10-d942-4e2e-b976-28a629d6740b,TRUE,Diethylcarbamazine,
72005c75-6d84-468e-a28e-43ca17a7216a,TRUE,Digoxin,
0948a889-1da2-44a2-9e30-51c38874a65d,TRUE,Disodium Hydrogen Citrate,
b68192db-fc09-445f-9232-0ba54858e41d,TRUE,Domperidone,
